"","Sex","age_class","series_id"
"SRR10573669","Male","class4","GSE141252"
"SRR10573684","Male","class4","GSE141252"
"SRR10573700","Male","class4","GSE141252"
"SRR10573912","Male","class4","GSE141252"
"SRR10573929","Male","class4","GSE141252"
"SRR10573945","Male","class4","GSE141252"
"SRR1292215","Male","class4","GSE57809"
"SRR1292216","Male","class4","GSE57809"
"SRR1292217","Male","class4","GSE57809"
"SRR17261765","Male","class4","GSE190985 GSE190986"
"SRR17261649","Male","class4","GSE190985 GSE190986"
"SRR17261650","Male","class4","GSE190985 GSE190986"
"SRR4473789","Male","class4","GSE89272"
"SRR4473790","Male","class4","GSE89272"
"SRR4473791","Male","class4","GSE89272"
"SRR12748625","Male","class4","GSE158831"
"SRR12748627","Male","class4","GSE158831"
"SRR12748629","Male","class4","GSE158831"
"SRR15402325","Male","class4","GSE181761"
"SRR15402326","Male","class4","GSE181761"
"SRR15402327","Male","class4","GSE181761"
"SRR10573512","Male","class4","GSE141252"
"SRR10573637","Male","class4","GSE141252"
"SRR10573654","Male","class4","GSE141252"
"SRR10573864","Male","class4","GSE141252"
"SRR10573881","Male","class4","GSE141252"
"SRR10573897","Male","class4","GSE141252"
"SRR17261703","Male","class4","GSE190985 GSE190986"
"SRR17261704","Male","class4","GSE190985 GSE190986"
